chromosome	position	strand	gene_type	gene_name	gene_pos	unconverted	converted	ratio
.	.	+	tRNA	tRNA-Gly-TCC-2-6	49	68	49	0.581196581
.	.	+	tRNA	tRNA-Gly-TCC-3-1	47	47	31	0.602564103
.	.	+	tRNA	tRNA-Gly-TCC-3-1	48	54	25	0.683544304
.	.	+	tRNA	tRNA-Gly-TCC-3-1	49	42	35	0.545454545
.	.	+	tRNA	tRNA-Gly-TCC-4-1	47	70	17	0.804597701
.	.	+	tRNA	tRNA-Gly-TCC-4-1	48	69	17	0.802325581
.	.	+	tRNA	tRNA-Gly-TCC-4-1	49	61	23	0.726190476
.	.	+	tRNA	tRNA-His-GTG-1-5	71	5	14	0.263157895
.	.	+	tRNA	tRNA-His-GTG-1-6	71	5	9	0.357142857
.	.	+	tRNA	tRNA-His-GTG-1-7	71	4	14	0.222222222
.	.	+	tRNA	tRNA-His-GTG-1-8	71	4	12	0.25
.	.	+	tRNA	tRNA-His-GTG-1-9	71	4	13	0.235294118
.	.	+	tRNA	tRNA-Leu-AAG-1-1	57	8	16	0.333333333
.	.	+	tRNA	tRNA-Leu-AAG-1-2	57	7	16	0.304347826
.	.	+	tRNA	tRNA-Leu-AAG-1-3	57	7	18	0.28
.	.	+	tRNA	tRNA-Leu-AAG-2-1	57	33	70	0.32038835
.	.	+	tRNA	tRNA-Leu-AAG-2-2	57	36	67	0.349514563
.	.	+	tRNA	tRNA-Leu-AAG-2-3	57	34	69	0.330097087
.	.	+	tRNA	tRNA-Leu-AAG-2-4	57	33	70	0.32038835
.	.	+	tRNA	tRNA-Leu-AAG-3-1	57	4	15	0.210526316
.	.	+	tRNA	tRNA-Leu-AAG-4-1	57	29	54	0.34939759
.	.	+	tRNA	tRNA-Leu-CAA-1-1	81	4	7	0.363636364
.	.	+	tRNA	tRNA-Leu-CAA-1-2	35	4	12	0.25
.	.	+	tRNA	tRNA-Leu-CAG-1-2	58	6	30	0.166666667
.	.	+	tRNA	tRNA-Leu-CAG-1-4	58	5	33	0.131578947
.	.	+	tRNA	tRNA-Leu-CAG-1-5	58	5	29	0.147058824
.	.	+	tRNA	tRNA-Leu-CAG-1-6	58	6	34	0.15
.	.	+	tRNA	tRNA-Leu-CAG-1-7	58	5	32	0.135135135
.	.	+	tRNA	tRNA-Leu-CAG-2-1	58	5	33	0.131578947
.	.	+	tRNA	tRNA-Leu-CAG-2-2	58	6	35	0.146341463
.	.	+	tRNA	tRNA-Leu-TAG-1-1	57	9	25	0.264705882
.	.	+	tRNA	tRNA-Leu-TAG-2-1	57	16	16	0.5
.	.	+	tRNA	tRNA-Leu-TAG-3-1	57	4	8	0.333333333
.	.	+	tRNA	tRNA-Lys-CTT-1-1	48	4	4	0.5
.	.	+	tRNA	tRNA-Lys-CTT-2-2	48	5	29	0.147058824
.	.	+	tRNA	tRNA-Lys-CTT-2-5	48	5	27	0.15625
.	.	+	tRNA	tRNA-Lys-CTT-4-1	48	4	4	0.5
.	.	+	tRNA	tRNA-Lys-TTT-3-1	48	7	105	0.0625
.	.	+	tRNA	tRNA-Lys-TTT-3-1	49	13	100	0.115044248
.	.	+	tRNA	tRNA-Lys-TTT-3-2	48	9	104	0.079646018
.	.	+	tRNA	tRNA-Lys-TTT-3-2	49	14	98	0.125
.	.	+	tRNA	tRNA-Lys-TTT-3-3	48	8	110	0.06779661
.	.	+	tRNA	tRNA-Lys-TTT-3-3	49	14	105	0.117647059
.	.	+	tRNA	tRNA-Lys-TTT-3-4	48	8	108	0.068965517
.	.	+	tRNA	tRNA-Lys-TTT-3-4	49	14	100	0.122807018
.	.	+	tRNA	tRNA-Lys-TTT-3-5	48	7	111	0.059322034
.	.	+	tRNA	tRNA-Lys-TTT-3-5	49	11	108	0.092436975
.	.	+	tRNA	tRNA-Met-CAT-3-1	48	8	6	0.571428571
.	.	+	tRNA	tRNA-Met-CAT-3-1	49	7	7	0.5
.	.	+	tRNA	tRNA-Met-CAT-3-2	48	8	6	0.571428571
.	.	+	tRNA	tRNA-Met-CAT-3-2	49	7	7	0.5
.	.	+	tRNA	tRNA-Pro-CGG-1-1	48	4	9	0.307692308
.	.	+	tRNA	tRNA-Ser-AGA-1-1	57	6	6	0.5
.	.	+	tRNA	tRNA-Ser-AGA-2-1	57	6	7	0.461538462
.	.	+	tRNA	tRNA-Ser-AGA-2-2	57	8	4	0.666666667
.	.	+	tRNA	tRNA-Ser-AGA-2-3	57	4	6	0.4
.	.	+	tRNA	tRNA-Ser-AGA-2-4	57	4	5	0.444444444
.	.	+	tRNA	tRNA-Ser-AGA-2-5	57	8	5	0.615384615
.	.	+	tRNA	tRNA-Ser-AGA-2-6	57	7	6	0.538461538
.	.	+	tRNA	tRNA-Ser-AGA-4-1	57	5	6	0.454545455
.	.	+	tRNA	tRNA-Ser-GCT-1-1	57	15	29	0.340909091
.	.	+	tRNA	tRNA-Ser-GCT-2-1	57	20	29	0.408163265
.	.	+	tRNA	tRNA-Ser-GCT-3-1	57	20	23	0.465116279
.	.	+	tRNA	tRNA-Ser-GCT-4-1	57	16	23	0.41025641
.	.	+	tRNA	tRNA-Ser-GCT-4-2	57	15	24	0.384615385
.	.	+	tRNA	tRNA-Ser-GCT-4-3	57	21	25	0.456521739
.	.	+	tRNA	tRNA-Ser-GCT-6-1	59	14	18	0.4375
.	.	+	tRNA	tRNA-Ser-TGA-2-1	57	3	4	0.428571429
.	.	+	tRNA	tRNA-Ser-TGA-3-1	57	7	3	0.7
.	.	+	tRNA	tRNA-Thr-AGT-1-1	49	6	15	0.285714286
.	.	+	tRNA	tRNA-Thr-AGT-1-1	50	5	16	0.238095238
.	.	+	tRNA	tRNA-Thr-AGT-1-2	49	5	15	0.25
.	.	+	tRNA	tRNA-Thr-AGT-1-2	50	4	16	0.2
.	.	+	tRNA	tRNA-Thr-AGT-1-3	49	6	14	0.3
.	.	+	tRNA	tRNA-Thr-AGT-1-3	50	4	16	0.2
.	.	+	tRNA	tRNA-Thr-AGT-2-1	49	5	9	0.357142857
.	.	+	tRNA	tRNA-Thr-AGT-2-2	49	4	7	0.363636364
.	.	+	tRNA	tRNA-Thr-AGT-5-1	49	7	15	0.318181818
.	.	+	tRNA	tRNA-Thr-AGT-5-1	50	5	17	0.227272727
.	.	+	tRNA	tRNA-Thr-CGT-3-1	49	8	22	0.266666667
.	.	+	tRNA	tRNA-Thr-TGT-1-1	49	4	12	0.25
.	.	+	tRNA	tRNA-Thr-TGT-1-1	50	4	11	0.266666667
.	.	+	tRNA	tRNA-Val-AAC-1-1	48	7	13	0.35
.	.	+	tRNA	tRNA-Val-AAC-1-2	48	6	14	0.3
.	.	+	tRNA	tRNA-Val-AAC-1-3	48	7	11	0.388888889
.	.	+	tRNA	tRNA-Val-AAC-1-4	48	5	13	0.277777778
.	.	+	tRNA	tRNA-Val-AAC-1-5	48	7	12	0.368421053
.	.	+	tRNA	tRNA-Val-AAC-2-1	48	8	13	0.380952381
.	.	+	tRNA	tRNA-Val-AAC-5-1	48	4	11	0.266666667
.	.	+	tRNA	tRNA-Val-TAC-1-1	48	29	9	0.763157895
.	.	+	tRNA	tRNA-Val-TAC-1-1	49	25	13	0.657894737
.	.	+	tRNA	tRNA-Val-TAC-1-2	48	29	9	0.763157895
.	.	+	tRNA	tRNA-Val-TAC-1-2	49	25	13	0.657894737
.	.	+	tRNA	tRNA-Val-TAC-2-1	48	29	9	0.763157895
.	.	+	tRNA	tRNA-Val-TAC-2-1	49	25	13	0.657894737
.	.	+	tRNA	tRNA-Val-TAC-3-1	48	28	28	0.5
.	.	+	tRNA	tRNA-Val-TAC-3-1	49	15	40	0.272727273
.	.	+	tRNA	tRNA-iMet-CAT-1-1	47	4	16	0.2
.	.	+	tRNA	tRNA-iMet-CAT-1-2	47	7	11	0.388888889
.	.	+	tRNA	tRNA-iMet-CAT-1-4	47	8	11	0.421052632
.	.	+	tRNA	tRNA-iMet-CAT-1-5	47	4	13	0.235294118
.	.	+	tRNA	tRNA-iMet-CAT-1-6	47	6	14	0.3
.	.	+	tRNA	tRNA-iMet-CAT-1-7	47	5	12	0.294117647
.	.	+	tRNA	tRNA-iMet-CAT-1-8	47	8	16	0.333333333
1	631436	+	pseudogene	ENSG00000237973(MTCO1P12)	363	7	22	0.24137931
1	918816	-	lncRNA	ENSG00000223764(LINC02593)	2201	30	3	0.909090909
1	944475	+	protein_coding	ENSG00000187634(SAMD11)	20553	276	311	0.470187394
1	999131	-	protein_coding	ENSG00000188290(HES4)	1042	23	402	0.054117647
1	999142	-	protein_coding	ENSG00000188290(HES4)	1031	19	436	0.041758242
1	1014332	+	protein_coding	ENSG00000187608(ISG15)	13195	122	807	0.131324004
1	1046450	+	protein_coding	ENSG00000188157(AGRN)	26331	18	270	0.0625
1	1048884	+	protein_coding	ENSG00000188157(AGRN)	28765	46	277	0.142414861
1	1050461	+	protein_coding	ENSG00000188157(AGRN)	30342	12	350	0.033149171
1	1055549	+	protein_coding	ENSG00000188157(AGRN)	35430	96	665	0.126149803
1	1231569	-	protein_coding	ENSG00000078808(SDF4)	463	24	197	0.108597285
1	1304620	-	protein_coding	ENSG00000131584(ACAP3)	4990	11	2	0.846153846
1	1314332	-	protein_coding	ENSG00000127054(INTS11)	10356	61	255	0.193037975
1	1336148	-	protein_coding	ENSG00000107404(DVL1)	13271	18	455	0.038054968
1	1336315	-	protein_coding	ENSG00000107404(DVL1)	13104	49	239	0.170138889
1	1342389	-	protein_coding	ENSG00000107404(DVL1)	7030	32	182	0.14953271
1	1349093	-	protein_coding	ENSG00000107404(DVL1)	326	7	169	0.039772727
1	1373737	-	protein_coding	ENSG00000175756(AURKAIP1)	1471	15	924	0.015974441
1	1599638	-	protein_coding	ENSG00000228594(FNDC10)	498	13	198	0.061611374
1	1817870	-	protein_coding	ENSG00000078369(GNB1)	74423	35	3996	0.008682709
1	2050483	+	protein_coding	ENSG00000067606(PRKCZ)	73	4	19	0.173913043
1	2050585	+	protein_coding	ENSG00000067606(PRKCZ)	175	25	24	0.510204082
1	2193835	-	protein_coding	ENSG00000162585(FAAP20)	18886	14	289	0.04620462
1	2408700	-	protein_coding	ENSG00000157911(PEX10)	5098	8	212	0.036363636
1	2870844	+	Other features	.	.	17	0	1
1	2870852	+	Other features	.	.	23	0	1
1	3514617	-	protein_coding	ENSG00000162591(MEGF6)	96892	3	4	0.428571429
1	3884219	+	protein_coding	ENSG00000169598(DFFB)	26953	11	15	0.423076923
1	3884220	+	protein_coding	ENSG00000169598(DFFB)	26954	16	10	0.615384615
1	5865230	-	protein_coding	ENSG00000131697(NPHP4)	127244	4	21	0.16
1	6099974	+	protein_coding	ENSG00000069424(KCNAB2)	109048	35	307	0.102339181
1	6221386	-	protein_coding	ENSG00000116237(ICMT)	14587	47	438	0.096907216
1	6252801	-	protein_coding	ENSG00000158292(GPR153)	8298	4	8	0.333333333
1	8865394	-	protein_coding	ENSG00000074800(ENO1)	13797	285	20756	0.013544984
1	9849424	-	protein_coding	ENSG00000178585(CTNNBIP1)	60913	4	14	0.222222222
1	10379873	+	protein_coding	ENSG00000054523(KIF1B)	169304	16	39	0.290909091
1	10630313	+	protein_coding	ENSG00000142655(PEX14)	158026	17	201	0.077981651
1	11680862	-	protein_coding	ENSG00000116670(MAD2L2)	10950	5	27	0.15625
1	11975276	+	protein_coding	ENSG00000083444(PLOD1)	41072	29	586	0.047154472
1	15828288	+	pseudogene	ENSG00000178715	57	8	6	0.571428571
1	16396171	+	protein_coding	ENSG00000055070(SZRD1)	43597	35	1620	0.021148036
1	16396655	+	protein_coding	ENSG00000055070(SZRD1)	44081	893	191	0.823800738
1	16987123	-	protein_coding	ENSG00000159363(ATP13A2)	24806	46	260	0.150326797
1	16997163	-	protein_coding	ENSG00000159363(ATP13A2)	14766	10	192	0.04950495
1	17033138	-	protein_coding	ENSG00000117118(SDHB)	20895	46	2015	0.022319262
1	18872033	-	protein_coding	ENSG00000159423(ALDH4A1)	30692	13	37	0.26
1	19230876	-	protein_coding	ENSG00000127463(EMC1)	20677	7	146	0.045751634
1	19306126	-	protein_coding	ENSG00000053371(AKR7A2)	6019	28	820	0.033018868
1	19311960	-	protein_coding	ENSG00000053371(AKR7A2)	185	79	571	0.121538462
1	19608399	+	protein_coding	ENSG00000158747(NBL1)	11421	4	10	0.285714286
1	19657480	+	protein_coding	ENSG00000158747(NBL1)	60502	6	60	0.090909091
1	20485523	-	protein_coding	ENSG00000162545(CAMK2N1)	688	24	32	0.428571429
1	20652451	-	protein_coding	ENSG00000244038(DDOST)	9094	33	345	0.087301587
1	20652513	-	protein_coding	ENSG00000244038(DDOST)	9032	46	1354	0.032857143
1	20744004	-	protein_coding	ENSG00000127483(HP1BP3)	43320	11	257	0.041044776
1	21217834	-	protein_coding	ENSG00000117298(ECE1)	127739	47	376	0.111111111
1	21887482	-	protein_coding	ENSG00000142798(HSPG2)	49829	4	23	0.148148148
1	26732729	+	protein_coding	ENSG00000117713(ARID1A)	39494	6	87	0.064516129
1	26826836	+	protein_coding	ENSG00000204160(ZDHHC18)	149	12	105	0.102564103
1	26879705	-	protein_coding	ENSG00000142751(GPN2)	10579	16	348	0.043956044
1	28536007	+	protein_coding	ENSG00000180198(RCC1)	30065	31	476	0.061143984
1	29154719	-	protein_coding	ENSG00000116350(SRSF4)	27182	15	478	0.030425963
1	30871689	-	protein_coding	ENSG00000162512(SDC3)	37070	4	7	0.363636364
1	31413205	+	protein_coding	ENSG00000168528(SERINC2)	3641	3	4	0.428571429
1	31424844	+	protein_coding	ENSG00000168528(SERINC2)	15280	17	246	0.064638783
1	31488635	-	pseudogene	ENSG00000215899(EEF1A1P46)	296	9	6	0.6
